民办小学,lon_earth,lat_earth
上海民办日日学校,121.4469036,31.33271406
上海市同洲模范学校,121.4523914,31.32340413
上海市民办锦秋学校,121.3792277,31.32247493
上海民办华二宝山实验学校,121.3538538,31.36613744
上海民办行知二中实验学校,121.4850616,31.3963789
上海宝山区世界外国语学校,121.3797784,31.36106528
上海市新纪元双语学校,121.7803997,31.50855923
上海帕丁顿双语学校,121.4522322,30.93841294
上海奉贤区世外教育附属临港外国语学校,121.7413226,30.86844591
上海市外国语大学附属民办外国语小学,121.4635779,31.29622744
上海市民办丽英小学,121.4740228,31.28483722
上海市民办宏星小学,121.4853613,31.28389504
上海市民办四中心实验小学,121.4951889,31.29137758
上海民办永昌学校,121.4604312,31.21164873
上海康德双语实验学校,121.4657225,31.19809614
上海市民办桃李园实验学校,121.2303611,31.40013026
上海市民办远东学校,121.2562599,31.40629586
上海嘉定区怀少学校,121.3069441,31.30059635
上海华东师范大学附属双语学校,121.169986,31.26427323
上海嘉定区世界外国语学校,121.2680158,31.30811136
上海市嘉定民办斌心学校,121.3143409,31.43006058
上海市民办金盟学校,121.3353708,30.7103959
上海金山杭州湾双语学校,121.3148889,30.8285524
上海金山区世界外国语学校,121.3271153,30.7544499
民办上海上外静安外国语小学,121.4594304,31.23539651
上海市民办童园(实验)小学,121.4535284,31.27342183
上海市民办扬波外国语小学,121.4425182,31.26627953
上海民办彭浦实验小学,121.4457432,31.31814959
上海市七宝外国语小学,121.365748,31.13941731
上海市民办协和双语尚音学校,121.385478,31.12837387
上海市民办万源城协和双语学校,121.3914713,31.14630014
上海市民办复旦万科实验学校,121.3373687,31.16267157
上海闵行区万科双语学校,121.3397279,31.16702167
上海市民办协和双语学校,121.3709703,31.17095172
上海市燎原双语学校,121.4020725,31.14563078
上海博世凯外国语学校,121.5274747,31.06649724
上海闵行区民办美高双语学校,121.2715909,31.23496828
上海民办华东师大二附中紫竹双语学校,121.4561467,31.03179785
上海星河湾双语学校,121.4011615,31.08975112
上海闵行区民办德闳学校,121.3349774,31.0549132
上海闵行区诺德安达双语学校,121.2637048,31.22248088
上海市民办平和学校,121.5856556,31.24246707
上海市民办尚德实验学校,121.5923418,31.13859571
上海科技大学附属民办学校,121.604853,31.16606818
上海市民办中芯学校,121.6151107,31.22222794
上海浦东新区民办协和双语学校,121.4938858,31.18500384
上海浦东新区民办惠立学校,121.4729035,31.16211254
上海市民办金苹果学校,121.6154032,31.28400518
上海浦东新区民办万科学校,121.5799714,31.15164583
上海浦东新区民办宏文学校,121.6995917,31.16789595
上海浦东新区民办沪港学校,121.8853207,30.88520583
上海师范大学附属第二外国语学校,121.7769938,31.05373105
上海民办启能东方外国语学校,121.658535,31.22827769
上海浦东新区民办福山正达外国语学校,121.4868598,31.17964705
上海浦东民办未来科技学校,121.5685978,31.09910622
上海外国语大学附属民办浦东外国语小学,121.5901762,31.26930699
上海民办福山正达外国语小学,121.5402323,31.24081606
上海浦东新区民办筑桥实验小学,121.5961061,31.18349422
上海浦东新区民办常青藤小学,121.562303,31.13648668
上海市民办东方阶梯双语学校,121.4803581,31.17435011
上海民办新金童小学,121.4940395,31.17130051
上海金洲小学,121.3815417,31.25209585
上海培佳双语学校,121.4355384,31.26730248
上海托马斯实验学校,121.3751741,31.27771255
上海市民办新黄浦实验学校,121.4426162,31.25650318
上海青浦区协和双语学校,121.2309776,31.1289539
上海青浦平和双语学校,121.0853836,31.13859087
上海青浦区世界外国语学校,121.2778576,31.19234978
上海宋庆龄学校,121.2367546,31.14348259
上海外国语大学西外外国语学校,121.2307438,31.04690682
上海赫德双语学校,121.243813,31.04229318
上海市民办盛大花园小学,121.4490318,31.17799599
上海市徐汇区逸夫小学,121.4386702,31.1349352
上海市徐汇区民办爱菊小学,121.4378734,31.21500232
上海市世界外国语小学,121.4157259,31.15697806
上海市民办阳浦小学,121.5322473,31.26920263
上海民办打一外国语小学,121.5113925,31.27851267
上海同济大学实验学校,121.4879812,31.30577655
上海外国语大学附属双语学校,121.5233805,31.28257326
上海民办沪东外国语学校,121.4929871,31.28258488
上海控江中学附属民办学校,121.5173534,31.2669243
上海市民办东展小学,121.3663883,31.20726906
上海市民办新世纪小学,121.4324227,31.2063583
上海民办包玉刚实验学校,121.4285377,31.22632155
